id,full_name,div_code,division,status,country_id,country,department_code,department,date_in,date_out,username,email
48747,Julie Martin,560,UX,Active,12,Argentina,4132,UX - WEB,01/09/2021,None,juliemartin,juliemartin@challenge.com
281005,Andrea Mason,432,IT,Active,15,Brazil,24520,INFRA,13/01/2021,None,andreamason,andreamason@challenge.com
1403740,Nicholas Ayala,7788,SALES,Inactive,26,Peru,229,SALES - GLOBAL,21/11/2010,13/03/2018,nicholasayala,nicholasayala@challenge.com
536529,Ana Watson,432,IT,Active,15,Brazil,15026,SEG INFO,04/09/2017,None,anawatson,anawatson@challenge.com
1434898,Tim Brown,432,IT,Active,15,Brazil,15026,SEG INFO,01/10/2020,None,timbrown,timbrown@challenge.com
1882369,Adrienne Gallagher,432,IT,Active,15,Brazil,32105,DEVELOPMENT,01/09/2010,None,adriennegallagher,adriennegallagher@challenge.com
364162,Elizabeth Evans,432,IT,Active,15,Brazil,32105,DEVELOPMENT,01/06/2021,None,elizabethevans,elizabethevans@challenge.com
1505529,Michael Guerra,432,IT,Active,15,Brazil,23585,FUNCIONAL,01/09/2021,None,michaelguerra,michaelguerra@challenge.com
1327750,Robert Bailey,432,IT,Active,15,Brazil,23585,FUNCIONAL,13/01/2021,None,robertbailey,robertbailey@challenge.com
178354,Lori Faulkner,432,IT,Active,15,Brazil,23585,FUNCIONAL,21/11/2010,None,lorifaulkner,lorifaulkner@challenge.com
1059567,Melanie Murray,432,IT,Active,15,Brazil,24520,INFRA,04/09/2017,None,melaniemurray,melaniemurray@challenge.com
1603307,Rickey Guerrero,432,IT,Inactive,12,Argentina,24520,INFRA,01/10/2020,12/03/2022,rickeyguerrero,rickeyguerrero@challenge.com
1875364,Kimberly Clark,432,IT,Active,15,Brazil,24520,INFRA,01/09/2010,None,kimberlyclark,kimberlyclark@challenge.com
1827628,Laurie Hart,560,UX,Active,15,Brazil,4132,UX - WEB,01/06/2021,None,lauriehart,lauriehart@challenge.com
1552794,Joseph Miller,560,UX,Active,15,Brazil,4132,UX - WEB,01/09/2021,None,josephmiller,josephmiller@challenge.com
472449,Johnny Lam,560,UX,Active,15,Brazil,21283,UX - MOBILE,13/01/2021,None,johnnylam,johnnylam@challenge.com
1350164,Michael Chavez,560,UX,Active,15,Brazil,21283,UX - MOBILE,21/11/2010,None,michaelchavez,michaelchavez@challenge.com
482392,Jennifer Wilson,7788,SALES,Active,12,Argentina,25584,SALES - ARG,04/09/2017,None,jenniferwilson,jenniferwilson@challenge.com
85414,Isaiah King,7788,SALES,Active,12,Argentina,25584,SALES - ARG,01/10/2020,None,isaiahking,isaiahking@challenge.com
336882,Tara Frazier,7788,SALES,Active,23,Chile,23384,SALES - CL,01/09/2010,None,tarafrazier,tarafrazier@challenge.com
